"scenario","Rt","Vaccine","date","hospitalisations_med","hospitalisations_baseline_med","hospitalisations_averted_med","hospitalisations_025","hospitalisations_baseline_025","hospitalisations_averted_025","hospitalisations_25","hospitalisations_baseline_25","hospitalisations_averted_25","hospitalisations_75","hospitalisations_baseline_75","hospitalisations_averted_75","hospitalisations_975","hospitalisations_baseline_975","hospitalisations_averted_975"
6,"Economic Based","100-Day Mission & Manufacturing",2020-10-08,22892.7653884058,74217.5570312793,50204.6692254761,16438.0551942367,56040.7164082888,39532.497666572,20665.1705000933,67216.552697601,45878.5324693393,25026.0882044576,86074.866011297,61222.0069787437,28768.2589807096,96387.1656529728,68288.139615604
6,"Economic Based","100-Day Mission & Manufacturing",2020-10-09,22764.4304961837,74690.3627532716,50805.2333496122,16310.7878779122,56531.1227995535,40101.2541890455,20457.362951844,67728.6809246584,46530.3150459246,24801.17731737,86427.2760449899,61779.5883801235,28577.7309314784,96764.3389375143,68904.4012622864
6,"Economic Based","100-Day Mission & Manufacturing",2020-10-10,22712.2477493851,75213.9929944008,51449.7474187731,16196.113034087,57068.9282271711,40723.1148842176,20259.7278461361,68239.5257777657,47171.5376903925,24565.7594558194,86824.0797952628,62374.8703433462,28396.0065988175,97184.4361397203,69560.7845455936
6,"Economic Based","100-Day Mission & Manufacturing",2020-10-11,22591.5884037461,75824.3878590622,52160.4263465345,16102.8977508608,57669.677952894,41384.2373679187,20074.5727101478,68758.9106795024,47830.4082693626,24386.2548554157,87298.2537688388,63032.8976328677,28243.8573223049,97694.6928837759,70299.5102444162
6,"Economic Based","100-Day Mission & Manufacturing",2020-10-12,22530.4880826959,76545.6843066394,52952.2256039587,16037.276062596,58344.0075427202,42083.6641087999,19902.8786759732,69361.1766974006,48559.9216307331,24205.3087103242,87872.4295201919,63771.6638582976,28135.9447593577,98327.62403912,71114.4388606004
6,"Economic Based","100-Day Mission & Manufacturing",2020-10-13,22415.2143106017,77380.3811444365,53827.1200685989,15999.9485462214,59093.6655573797,42825.6842514407,19743.7403284793,70084.3133232348,49395.2411269633,24130.5024538193,88549.5077393086,64558.9100570368,28074.4857063896,99088.1251939298,71959.2908190758
6,"Economic Based","100-Day Mission & Manufacturing",2020-10-14,22337.7744060959,78198.4266774605,54713.9767086571,15988.1925376421,59915.181378207,43608.9951492058,19595.3563926134,70999.9998213301,50282.8589654711,24044.1462159415,89320.2384727075,65403.1743953286,28054.038150092,99963.7331149556,72892.8903423897
6,"Economic Based","100-Day Mission & Manufacturing",2020-10-15,22307.0717944395,79002.1134657498,55546.0327163601,15998.027114872,60803.8639178686,44435.910508436,19476.6403571975,71977.6273497758,51217.9729336953,23997.8809555024,90171.5611464715,66311.0244089272,27987.151420785,100936.461085688,73901.6036013493
6,"Economic Based","100-Day Mission & Manufacturing",2020-10-16,22257.9635298267,79860.9486724201,56587.4217361961,16025.7186738884,61755.5210822206,45378.6126559033,19386.2540913587,73004.0519967075,52224.4975203029,23994.3186169589,91091.2053991434,67275.4178722029,27936.9005848947,101989.136024809,74972.5027276272
6,"Economic Based","100-Day Mission & Manufacturing",2020-10-17,22232.0334942132,80935.0648060971,57697.3506250939,16070.4558127269,62761.1277571539,46364.1410081147,19304.7979391664,74066.6262624503,53291.0737241492,23987.4385407461,92050.3092312513,68262.296388526,27900.8850945009,103102.04273691,76088.0139367122
6,"Economic Based","100-Day Mission & Manufacturing",2020-10-18,22224.6381270571,82068.1787561164,58844.9609865952,16102.1353847248,63802.5342677996,47367.5869142024,19238.7332274237,75143.5396429671,54371.6072475502,23926.1054513806,93007.7544280764,69221.1282793946,27885.242378709,104240.219373885,77220.5180223884
6,"Economic Based","100-Day Mission & Manufacturing",2020-10-19,22249.1829122686,83041.3206475211,59984.7355147425,16145.9134719436,64865.6863298538,48369.3877744243,19322.4649909593,76217.7436386423,55426.0286763294,23931.9506889986,93972.3875650667,70174.6544555227,27894.5643782756,105394.833966993,78349.2125765866
